town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Saugus,20.7,0.173,2.3,-0.104,25.9,9.5,113.0,64.8,9.4,451.8,19.8,0.082,1.9,118.5,30,5.6,4.1,42.6,1081,8.6,2415,52.4,5.42,131,22.5,4.1,54.9,1.9,5.2,32.6,6.8,2.55,25.8,12.1,10.6,28050 ,0.03,1.4,16.5,12,42.8,53,19.1,0.022,22.9,50.6,185,26.1,7.7,0.55,0.008,294,0.102,12690,11,78.3,22.3,-0.026,45.2,0.4,10,0.845,6.8,3588,3672,93.2,65695 ,0.4,324,1.1,31,18024,0.14,red
Savoy,0.0,0.012,0.0,-0.115,0.0,10.1,549.1,,10.2,380.1,5.7,0.0,28.9,91,3,,0.0,51.2,1304,13.0,2150,49.3,0.79,17,7.2,0.0,197.7,14.5,74.8,26.3,11.2,2.32,28.2,9.4,6.3,21451 ,0.09,2.9,43.4,,42.9,75.9,9.6,0.235,60.7,13.4,9,,0.4,1.38,-0.006,,0.042,13384,3,92.6,7.2,-0.226,36.9,1424.4,36.8,0.907,14.6,2512,2500,85.4,44898 ,0.32,533,0.0,,462,0.76,light blue
Scituate,28.1,0.089,8.8,-0.111,3.3,7.7,937.0,28.0,9.5,413.3,18.9,0.058,4.4,21.6,56,6.1,8.8,54.2,1614,4.1,2951,52.1,7.7,227,16.4,2.2,54.2,3.9,,27.7,4,2.62,24.4,19.8,8.5,45176 ,-0.03,0.3,14.9,15,44.7,69.5,5.4,-0.077,13.8,30.9,182,17.0,6.2,2.03,0.006,116,0.169,12311,18,95.5,39.8,-0.006,48.8,4.4,9.1,,6.1,5899,6056,93.9,74936 ,0.31,384,1.7,12.5,13780,0.15,medium blue
Seekonk,10.2,0.036,0.7,-0.149,0.7,7.1,124.6,33.5,10.4,534.4,20.1,0.008,2.9,227.2,59,6.6,4.4,48.8,1436,2.8,2909,51.5,4.45,130,19.6,0.7,46.9,1.5,8.7,13,6.4,2.71,17.7,9.5,11.9,31649 ,-0.04,0.1,30.6,9,42.9,66.9,8.4,0.382,28.2,42.4,208,26.1,7.2,1.25,0.001,288,0.125,11898,5,75.1,21.8,-0.034,44.9,3.6,14.8,0.902,5,3617,3722,95.0,71023 ,0.32,395,5.1,24.5,9638,0.38,light blue
Sharon,67.6,0.081,10.8,-0.051,2.8,7.1,103.9,33.3,8,474.1,18.1,0.055,1.7,86.3,60,23.8,15.9,59.3,2056,2.6,3386,51.8,4.08,138,6.4,0.0,29.3,2.8,3.2,13.2,6,2.82,16.1,28.3,7.3,55268 ,-0.02,0.3,6.2,10,42.5,73.3,32.8,-0.072,10.9,29.9,180,19.8,5.3,2.63,0.007,61,0.096,14527,13,92.1,14.0,0.011,46.4,1.1,13.6,0.839,9.2,8310,8583,90.8,69283 ,0.39,293,4.5,8.4,12799,0.53,wicked blue
Sheffield,12.3,0.031,9.2,0.013,6.1,8.3,270.2,,11.2,495.9,,0.0,15.4,27.9,50,,6.1,69.5,1814,5.2,2524,50.3,0.79,20,6.4,0.0,147.4,15.4,12.1,37.6,2.9,2.28,31.1,12.4,10.1,25501 ,-0.21,0.3,27.6,31,48.8,66.8,,0.098,37.8,19.0,130,18.3,5.1,0.51,-0.006,,0.115,,4,85,10.7,,42.7,129.8,3.3,0.87,19.2,4100,4133,80.8,,,485,3.1,,2267,0.51,medium blue
Shelburne,10.6,0.198,15.8,0.021,26.4,9.5,243.0,,11.4,551,,0.019,21.1,63.9,40,5.3,31.7,57.6,1004,11.6,1600,50.7,,,7.0,15.8,114.9,15.8,28.6,55.2,7.5,2.18,33.7,22.8,9,17742 ,-0.04,0.5,68.7,58,50.1,68.5,,-0.135,33.8,23.6,99,10.5,6.2,0.08,0.003,84,0.069,,7,79.8,22.2,,44.1,374.1,6,0.876,9.5,3104,3175,90.5,,,376,26.4,5.2,1379,0.16,wicked blue
Sherborn,36.4,0.041,19.4,-0.066,7.3,7.8,102.0,36.0,9.8,469,17.3,0.023,4.9,160.7,155,17.0,26.7,64,3570,0.7,5363,51.3,1.98,106,8.0,0.0,72.1,58.3,1.9,18.8,4,2.86,15.1,33.6,6.1,150435 ,-0.02,0,7.3,10,44.6,76.7,18.4,0.282,12.1,11.1,332,38.6,6.2,2.31,0.01,67,0.115,15720,18,95.1,18.9,-0.167,53.9,16.8,4.1,0.898,8.5,13534,13883,91.5,92381 ,0.25,359,19.4,4.8,3140,0.23,wicked blue
Shirley,12.5,0.209,1.4,-0.134,59.6,9.8,156.7,19.3,9.7,376.6,,0.107,6.9,38.6,29,2.8,4.2,52.2,766,2.5,1305,41,2.2,29,12.7,1.4,74.5,5.5,15.1,19.6,6.6,2.54,24.5,17.3,4.6,23421 ,0.13,1.5,11.1,10,38.9,80.6,,0.294,28.7,34.9,97,19.3,7.4,0.69,0.008,59,0.186,,6,89.1,23.6,,36.4,15.1,8.7,0.92,16.6,3969,4088,83.4,54213 ,,297,4.2,24.5,4095,1.07,light blue
Shrewsbury,27.5,0.184,2.2,-0.063,7.9,9.3,206.7,19.3,8.6,463.4,22,0.134,1.1,98.9,44,12.9,20.8,52.7,1302,2.4,2470,51.2,3.29,81,13.9,2.2,45.2,0.8,6.0,13.7,7.3,2.62,24.6,20.9,6.2,41874 ,-0.02,0.2,10.4,9,38.8,68.3,31.1,0.243,14.9,31.6,111,14.8,4.5,2.36,0.003,76,0.13,11318,11,86.9,19.0,0.018,41.6,16.2,23.9,0.854,6.7,4139,4322,93.3,72532 ,0.39,300,6.5,1.7,23216,0.75,medium blue
Shutesbury,16.9,0.037,5.6,-0.051,0.0,7.9,536.4,,10.1,543.2,14.9,0.002,11.3,54.2,30,,0.0,60.3,1788,1.7,2839,52.3,1.8,51,11.6,0.0,90.1,5.6,18.6,14,13.9,2.48,23.4,46.3,2.6,21163 ,0.01,0,5.6,45,45.4,77.1,21.1,0.0,20.3,18.2,99,,3.5,7.31,0.003,,0.107,15436,0,96.9,20.9,-0.094,26.3,123.9,15.3,0.913,8.2,4833,5015,91.8,57637 ,0.17,339,5.6,,1477,1.65,wicked blue
Somerset,12.1,0.058,1.1,,14.3,8.1,258.2,24.7,10,497.9,20.2,0.004,1.7,131.2,36,3.3,3.3,55.7,1502,4.2,2604,52.5,3.85,100,18.8,1.7,68.0,0,4.8,18.9,3.7,2.53,23.4,7.5,14.9,25318 ,-0.02,0.6,16,14,44.4,64,6.6,0.415,32.1,50.1,133,21.3,5.1,1.12,0.001,163,,12447,9,70.6,35.5,-0.337,58.1,1.6,9.1,0.978,7.7,,,92.3,,0.47,326,1.7,19.1,13406,0.19,red
Somerville,14.5,0.838,14.9,,8.3,12.4,24.2,54.2,9.4,393,17.8,0.263,0.4,69.2,29,4.8,14.4,27.9,665,1.3,2032,50.9,9.18,187,23.3,1.8,19.8,10.7,5.4,69.5,12.5,2.29,32,21.9,7.5,27132 ,0.05,1.1,15.4,14,30.7,28.7,63.9,-0.149,9.7,22.4,163,19.9,8,-0.26,0.01,224,,16506,7,84.9,10.1,0.009,25.9,0.1,21,0.903,12.6,,,87.4,80144 ,0.37,156,1.8,34.8,49047,0.18,wicked blue
South Hadley,14.8,0.248,1.1,-0.073,5.7,7.9,358.6,37.2,9.8,435,16.7,0.14,5.1,76.9,57,5.7,12.0,51,1088,4.2,2131,59,,,17.4,4.6,73.0,1.7,13.9,24.6,5.7,2.25,32.2,,11.9,25663 ,-0.01,0.6,16,11,40,53,15.3,0.071,17.2,23.8,134,17.6,6.3,0.73,-0.002,190,0.1,13310,7,90.5,14.1,-0.105,44.4,52.6,29.2,0.928,10.4,3449,3501,89.6,64819 ,0.32,285,2.3,23.8,11211,0.23,medium blue
Southampton,22.4,0.047,1.7,-0.02,1.7,6.4,486.9,29.4,10.5,480.3,18.2,0.028,12.1,44.9,20,6.9,1.7,61.3,1450,6.9,2287,51.5,1.35,31,10.9,0.0,147.2,3.5,7.2,6.1,4.3,2.58,20.3,16.8,8.2,32298 ,0.06,0.2,22.4,9,42.8,78.7,8.8,0.337,39,28.0,131,,5.7,3.18,-0.002,115,0.173,10074,7,93.9,19.9,-0.009,42.8,183.4,21.8,0.954,5.1,3764,3912,94.9,64206 ,0.24,446,5.2,5.1,4283,0.89,light blue
Southborough,73.7,0.117,3.1,-0.068,7.2,9.7,111.6,28.6,8.6,459,18.7,0.074,6.1,125.7,50,8.2,48.1,56.4,2447,2.6,4342,50.5,4.15,180,13.7,3.1,53.0,2,3.5,12.5,7.5,2.89,15.4,27.8,6,107414 ,0.09,0.1,15.4,16,42.3,95.8,19.7,0.053,14.1,24.6,164,18.3,3.8,2.54,0.003,70,0.088,14831,15,80.7,17.9,-0.109,42.2,8.2,11.5,0.901,10.8,8334,8573,89.2,75961 ,0.48,359,12.3,3,7071,0.98,medium blue
Southbridge,1.8,0.34,0.6,-0.213,13.2,12.6,108.9,118.6,10.6,406.8,19.5,0.031,2.4,124.4,28,4.2,40.7,53.6,1443,3.2,2524,51.8,4.49,113,12.4,7.8,60.5,49.6,0.0,50,10.2,2.41,30.4,7.2,6.3,18177 ,0.0,1.8,22.1,9,36.6,48.1,43.8,-0.144,20.2,35.7,160,21.4,6.3,-0.05,0.003,256,0.153,12894,3,77.1,12.6,0.073,35,6.6,40.1,0.951,16.9,2949,3019,83.2,58909 ,0.35,274,0.6,37.2,11168,0.48,light blue
Southwick,8.4,0.115,0.0,-0.076,3.2,7.9,741.9,,11.2,456.7,,0.048,3.2,96.2,44,5.3,4.2,47.5,865,3.9,1781,50.4,1.82,32,8.5,1.1,137.6,1.1,23.9,10.6,4.9,2.56,24.2,10.3,10.1,30607 ,-0.01,0.2,28.4,11,43,75.8,,0.166,36.3,36.4,156,22.0,8.8,2.33,0.001,153,0.14,,8,88.8,18.3,,50.8,252.4,5.3,0.926,5.9,3656,3711,94.1,,,416,1.1,15.6,6401,0.86,red
Spencer,3.4,0.166,0.9,-0.206,12.0,10.6,480.0,53.7,10.3,412,,0.016,2.6,110.9,34,3.4,8.6,50.8,662,7.3,1219,50.1,2.53,31,11.0,3.4,113.2,5.1,21.1,36.9,5.3,2.45,26.9,13.6,6.1,23487 ,0.03,1.1,17.1,25,40.5,66.5,,0.107,33.5,33.3,142,17.9,11.6,0.66,0.003,181,0.159,,6,87.1,22.6,,38.6,237.9,10.2,0.941,8.9,2494,2607,91.1,,,366,6.0,19.4,7843,0.36,red
Springfield,3.7,0.283,0.8,-0.087,12.3,14.9,76.6,163.2,11.8,363.3,17.3,0.045,0.5,48.3,80,3.5,66.1,61.6,2116,1.2,3208,52.6,3.59,115,9.2,3.0,30.1,5.4,6.6,45.2,21.8,2.6,30,7.4,6.6,13136 ,0.0,6.3,12.8,5,32,34.6,86.7,-0.063,10.1,58.2,234,35.7,7.3,-0.06,0.001,459,0.006,14548,3,72.6,6.8,-0.003,34.4,6.8,55.7,0.938,16.4,2653,2507,83.7,58503 ,0.37,209,0.7,103.9,94641,0.29,medium blue
Sterling,32.0,0.09,3.8,-0.164,16.6,8.6,324.0,51.1,9.3,461.3,,0.038,5.1,83.5,,6.4,15.4,,,5.4,,50.8,,,,0.0,97.8,3.8,16.5,13.8,4,2.73,18.1,21.6,9,38982 ,0.01,0.3,14.1,18,42.8,95.5,,0.208,34.2,34.9,,22.9,,2.6,0.003,114,0.031,,12,86.2,29.8,,40,93.2,7.7,0.917,12.4,4545,4635,87.6,,,405,5.1,17.7,5920,0.91,red
Stockbridge,0.0,0.137,10.3,-0.099,10.3,4.1,472.5,253.1,10.8,571.1,,,10.3,204.9,88,20.5,77.0,35.4,1304,2.6,2980,53,1.31,39,9.9,0.0,111.6,56.5,10.9,42.4,0.6,1.97,39.8,19.2,21.6,29347 ,-0.07,0.5,102.7,41,46.5,52,,-0.411,16.9,18.5,233,30.6,7.8,-0.16,-0.006,276,0.105,,16,90,8.2,,48.6,82.6,1.5,0.848,,,3944,88.3,,,372,10.3,30.7,1547,-0.24,wicked blue
Stoneham,41.1,0.282,6.1,-0.071,12.6,10.6,59.2,63.3,8.8,492.9,16.5,0.188,1.4,98.1,74,11.2,53.6,40.7,1119,7.2,2587,52.7,4.19,108,21.1,4.7,44.9,31.7,9.6,26.8,5.4,2.36,31.9,13.3,9.2,34028 ,0.01,0.7,11.7,14,43.7,48.7,13,0.076,15.2,28.6,140,17.6,5.4,0.62,0.01,119,0.115,13226,12,88.1,18.1,-0.113,42.5,0.0,12.4,0.84,9.5,4908,4970,90.5,61959 ,0.31,294,1.4,13.3,15285,0.24,light blue
Stoughton,30.8,0.242,1.9,-0.174,9.3,10.0,95.7,47.5,9.4,475.8,17.2,0.157,1.1,132.5,39,9.6,15.6,57.6,1371,5.3,2317,52.1,5.39,125,7.7,3.7,38.7,0.7,0.2,16.8,10.5,2.59,25.6,15.4,10.1,27917 ,-0.01,0.9,15.6,15,43.2,59.6,31.4,-0.037,16.3,54.8,168,19.9,7.3,1.42,0.007,222,0.131,11960,11,78.5,21.1,-0.028,43.4,1.1,18.2,0.938,7,3979,4110,93.0,69366 ,0.48,317,1.5,32.5,18151,0.24,medium blue
Stow,36.4,0.135,10.6,-0.086,4.6,9.7,300.5,21.0,9.5,488.9,,0.101,4.6,64.6,44,9.1,4.6,64.5,2120,3.2,3245,50.8,2.49,81,7.0,0.0,68.2,7.6,22.2,18,5.9,2.71,17.4,25.9,7.3,56053 ,0.06,0.3,13.7,12,42.3,85.7,,-0.041,24.7,18.1,186,24.1,5.7,2.88,0.01,94,0.099,,9,91.2,21.9,,43.6,22.5,3.8,0.961,7.1,7682,7788,92.9,,,367,12.1,3,5032,0.79,medium blue
Sturbridge,15.1,0.107,1.1,-0.156,3.2,8.4,603.2,47.3,9.1,475.9,21.8,0.056,6.5,231.1,46,11.9,7.6,55.2,1590,3.5,2882,50.7,3.62,104,9.4,1.1,101.9,3.2,13.6,15.1,5.5,2.56,22.6,18.7,4.1,36967 ,0.01,0.3,35.6,18,40.4,97,11.3,0.123,26.7,23.0,195,24.7,6.8,2.3,0.003,189,0.196,11769,11,81.3,16.5,0.038,45.7,53.8,10.1,0.955,8.5,4553,4570,91.5,67781 ,0.25,370,6.5,30.9,6631,1.21,light blue
Sudbury,64.6,0.04,9.6,-0.059,1.7,7.8,108.2,9.0,8.4,444.9,20.5,0.035,1.7,85.3,73,20.4,19.8,64.9,2805,1.8,4307,51.2,4.16,179,12.3,0.6,32.8,3.4,3.9,9.6,5.2,3.02,11.9,33.2,8.4,98133 ,-0.12,0.1,11.9,8,41.8,79.2,16,0.093,13.9,21.5,149,18.0,3.5,5.8,0.01,42,0.107,12899,17,92.9,14.7,-0.068,57.5,2.8,8.4,0.948,6.3,10937,11205,93.7,64999 ,0.38,319,6.8,0.6,12412,0.44,wicked blue
Sunderland,10.9,0.143,0.0,-0.043,5.4,7.6,211.7,,10.1,468.8,16.6,0.036,2.7,54.6,30,,0.0,58.2,1064,2.7,1724,50.8,1.14,20,7.0,2.7,72.5,2.7,2.8,16.1,7.5,2.21,29,24.1,5.3,23816 ,0.01,0,27.1,19,30.5,55.2,27.9,0.029,19.5,10.9,83,13.5,4.8,3.07,0.004,,0.063,14058,5,88,9.0,-0.145,22,159.6,19.6,0.949,9.4,3571,3704,90.6,62552 ,0.14,272,10.9,,2540,1.08,wicked blue
Sutton,26.8,0.097,2.2,-0.11,5.6,7.3,422.8,60.0,9.6,465.4,19.8,0.047,3.3,87.8,18,,4.5,55,1565,5.6,2775,50.7,1.34,37,13.2,2.2,129.5,4.5,14.3,25,4.7,2.79,16.9,18.4,8,42147 ,0.03,0.2,10,6,41.7,95.5,7.1,0.186,32,33.9,159,22.2,5.7,1.89,0.004,127,0.205,11329,9,88.3,25.5,-0.053,38.8,72.3,22.1,0.884,5.4,4607,4845,94.6,68529 ,0.38,395,1.1,11,6833,1.1,red
Swampscott,39.9,0.305,13.1,-0.137,8.7,9.1,189.3,30.2,8.6,457.1,21,0.187,2.9,70.5,47,18.1,21.0,47.6,1735,2.4,3466,53,6.08,211,16.2,0.7,46.1,3.6,3.2,48.4,4.4,2.46,25.9,18.7,7.2,60646 ,0.12,0.9,13.1,17,44.4,45.8,14,-0.172,12.3,21.2,232,23.8,6.7,0.19,0.008,,0.134,13746,19,92.7,23.4,0.002,47,0.0,6.3,0.898,5.6,8377,8541,94.4,69684 ,0.32,300,2.2,,10257,0.13,medium blue
Swansea,13.2,0.032,0.0,-0.156,7.6,7.1,421.7,39.7,10.5,491.8,16.8,0.004,1.9,156.4,21,5.7,12.6,55,1174,5.5,2073,51,1.8,37,19.6,1.9,82.2,19.5,7.5,20.5,4.3,2.57,21.4,7.4,11.7,26821 ,-0.13,0.7,18.9,13,45,70.7,4.9,0.287,41.3,47.0,193,22.6,9.3,1.59,0.001,240,0.159,11504,9,84.2,42.2,-0.012,47.6,5.0,17.7,0.916,6.1,2965,3055,93.9,61142 ,0.41,387,3.8,26.2,11892,0.38,red
Taunton,7.7,0.326,0.0,-0.189,13.4,12.4,178.8,80.6,10.1,429.9,21,0.107,0.9,116.4,35,4.1,19.9,45.3,1213,4.7,2636,52.1,6.34,167,26.4,3.2,57.9,17,8.6,34,14.1,2.47,28.9,9.4,6.7,21036 ,-0.01,2.1,14.5,10,38.4,57.6,26.9,0.103,22.9,43.6,191,19.6,7.3,0.39,0.001,151,0.23,11417,6,78,40.6,-0.023,35,3.0,31.3,0.932,14.5,2917,3124,85.5,74147 ,0.33,310,1.3,47.5,35281,0.46,light blue
Templeton,2.5,0.094,0.0,-0.221,8.7,9.9,233.4,49.8,10.2,414.3,,0.031,8.7,74.5,,,5.0,,,4.9,,49.5,,,,0.0,111.0,5,16.1,28.6,6.1,2.7,19.8,17.4,8,21829 ,-0.05,0.5,21.2,10,41.7,95.6,,0.234,30.9,31.9,,18.6,,0.68,0.003,85,0.078,,5,88.4,23.0,,43.8,225.2,8.6,0.933,10.2,2612,2366,89.8,,,379,2.5,13.6,5174,0.71,red
Tewksbury,25.2,0.241,1.0,-0.089,7.9,9.1,105.0,41.7,8.9,471.5,20.6,0.175,2.4,115.2,34,6.9,13.8,47.9,1404,8.3,2772,51.5,4.84,134,21.3,1.7,60.7,0.3,4.7,6.6,4.9,2.7,21.5,17.3,9.1,33175 ,0.05,0.4,13.5,10,42.2,74.8,6.9,-0.085,25.3,54.8,178,23.7,6.4,2.86,0.01,209,0.239,12291,9,80.6,20.2,-0.137,43.5,1.7,15,0.905,5.1,4712,4888,94.9,70175 ,0.32,351,1.0,33.2,21503,0.65,red
Tisbury,10.1,0.119,17.7,,15.2,9.4,1623.2,,13,614.8,17.1,,17.7,77.5,120,17.7,38.0,43.8,2356,9.4,5386,51.2,1.04,56,16.8,2.5,60.7,12.7,12.7,30.1,7.8,2.19,35.9,22.0,6.9,49470 ,-0.18,1.5,27.9,89,47.6,54.7,28.8,-0.19,33.4,16.1,357,35.2,6.6,1.05,0.014,285,,20212,43,88.9,111.9,0.078,39.3,0.0,3,0.951,,,,93.5,78323 ,0.27,690,5.1,17.3,3386,0.86,wicked blue
Tolland,0.0,0.004,0.0,-0.109,0.0,2.1,1773.2,,11.4,437.1,,0.0,41.2,24.7,,,0.0,,,0.0,,51.3,,,,0.0,183.5,0,56.3,13.2,2,2.46,21.8,7.8,8.7,19505 ,-0.08,0,,21,44.1,104.6,,-0.222,43.3,35.5,,,,3.53,0.0,,0.294,,2,91.7,8.2,,39.5,371.1,6,0.915,10.4,1780,1903,89.6,,,501,0.0,,367,1.18,red
Topsfield,57.5,0.037,14.8,-0.096,3.3,6.4,190.6,22.8,9.6,455.5,15.8,0.016,3.3,80.9,112,9.9,4.9,44.7,1954,5.6,4253,51.7,2.19,93,9.9,0.0,83.0,13.1,9.9,10.8,6,2.84,16.7,20.7,4.2,57151 ,-0.2,0.2,3.3,13,43.8,77.2,6.6,0.065,18.7,36.4,216,21.2,5.1,3.31,0.008,,0.12,13152,17,91.7,28.3,-0.118,58.9,6.5,8.9,0.91,5.7,7842,8071,94.3,67057 ,0.33,369,9.9,,4702,0.34,light blue
Townsend,5.6,0.106,2.2,-0.202,4.5,9.7,197.2,64.3,10.1,458.7,,0.07,9.0,87.9,23,3.4,6.7,55.1,992,7.5,1658,50.6,4.89,81,9.0,0.0,88.0,0,15.1,16.3,4.1,2.75,18.4,18.4,3.8,29308 ,0.05,0.9,11.2,7,39.5,90.1,,0.124,41.6,39.8,132,16.7,7.9,2.17,0.01,,0.068,,6,90.2,28.9,,32.4,38.8,7,0.947,13.9,3970,4018,86.2,,,399,5.6,,6212,0.71,red
Truro,0.0,0.194,20.0,-0.107,5.0,6.0,1078.4,89.9,10.9,526.7,19.2,0.133,20.0,117.8,667,5.0,10.0,28.8,2040,5.5,6505,50.6,1.82,119,16.6,0.0,139.9,20,0.0,17.4,1.3,2.03,33.3,30.0,4.9,34636 ,0.13,0,69.9,15,53,69.6,16.1,0.152,37.9,13.2,649,69.5,10,2.03,0.0,198,0.134,20636,31,93.6,96.9,0.007,38.7,15.0,2.6,0.985,7.9,4275,4338,92.1,61180 ,0.4,592,10.0,19.8,1760,0.66,wicked blue
Tyngsborough,28.3,0.207,1.8,-0.117,3.5,11.3,194.8,40.3,9.3,472.1,20.3,0.148,4.4,114.8,30,5.3,0.9,54,1544,6.8,2686,51.2,1.66,45,15.6,0.0,71.0,1.8,10.0,11,5.9,2.82,18.2,18.2,5.2,36269 ,0.1,0.6,28.3,18,40.4,79.4,14.4,0.019,28.6,45.8,218,25.5,8.1,4.48,0.011,,0.139,,9,85.9,21.3,-0.104,32.7,12.3,23.7,0.89,8.4,4838,5034,91.6,64795 ,0.42,384,3.5,,8260,1.43,light blue
Tyringham,0.0,0.034,0.0,-0.031,0.0,6.1,1284.4,,10.6,470.9,,0.0,30.6,91.7,8,,0.0,22.6,832,0.0,3122,52.6,2.46,77,18.6,0.0,289.2,91.7,0.0,24.4,0,2.25,23.9,22.0,17.4,20034 ,-0.35,0,30.6,,55.9,83.1,,-0.385,24.5,7.2,183,,5.9,0.39,-0.006,,0.02,,0,93.4,24.5,,39.4,953.8,4.4,0.967,11.3,2997,2976,88.7,,,514,0.0,,310,0.23,wicked blue
Upton,17.2,0.087,4.0,-0.115,2.7,9.3,244.0,15.9,9.4,436.1,,0.036,2.7,88.8,30,2.7,13.3,58,1283,4.9,2212,51,3.37,75,7.6,1.3,100.9,2.7,21.2,24.6,4.6,2.76,19.5,19.7,3.5,41233 ,-0.12,0.1,9.3,13,42.3,102.6,,0.086,31.8,21.2,201,,9.1,1.84,0.004,98,0.19,,11,93.7,28.6,,39.1,21.1,2.8,0.908,10.2,5630,5809,89.9,,,376,5.3,10.5,5142,1.18,light blue
Uxbridge,12.6,0.273,3.0,-0.15,10.4,10.3,226.6,53.3,9.8,466.2,19.5,0.16,5.2,90,34,1.5,13.4,55.7,1480,4.8,2657,50.2,1.34,36,17.5,0.0,104.1,38.6,14.8,25.8,5.8,2.65,21.8,16.1,7.6,30398 ,-0.07,0.3,15.6,14,40.8,94.9,8.2,0.359,37.4,34.8,125,17.0,4.7,0.92,0.003,111,0.2,12074,7,85.3,27.9,-0.073,37,17.8,27.8,0.895,5,4395,4474,95.0,68804 ,0.27,371,7.4,13.9,10140,1.17,red
Wakefield,43.3,0.249,8.8,0.007,14.0,12.6,92.7,27.0,9,466.7,19.3,0.122,2.0,60,46,11.2,5.6,47.8,1124,6.1,2307,51.9,5.96,138,25.5,3.6,49.1,36.9,5.1,41.4,3.2,2.47,28.1,16.1,9.9,36357 ,-0.04,0.3,9.6,14,41.8,54.4,10.1,0.028,18.9,30.9,146,17.5,6.3,0.27,0.01,122,0.186,12512,13,84.4,16.1,-0.004,37.9,0.8,10.8,0.921,7.8,4769,4935,92.2,63623 ,0.37,322,2.4,26.4,17295,0.13,light blue
Wales,5.4,0.051,0.0,-0.122,5.4,8.2,674.6,16.3,11.4,459.2,14.9,0.002,5.4,22.3,31,,0.0,59.6,1180,5.4,1912,49.3,0.59,11,14.5,0.0,179.4,0,35.5,20.3,3.4,2.5,27,15.1,2.8,20918 ,0.0,0.5,10.9,11,43.6,92.1,12.2,-0.061,50.6,39.4,28,,1.4,2.7,0.001,27,0.11,11994,3,91.9,17.4,-0.138,35.7,135.9,24.4,0.961,15.3,2881,2948,84.7,64310 ,0.25,436,0.0,5.4,1297,1.1,red
Walpole,42.4,0.175,5.0,-0.085,9.1,9.8,112.2,19.4,9.1,431,21,0.119,5.4,91,68,10.4,11.6,50.9,1432,5.9,2816,50.9,4.82,136,17.5,3.7,39.6,0.8,1.7,17.9,4.4,2.69,22.9,20.1,8.9,41680 ,-0.07,0.3,15.8,12,42.7,70.4,14.7,0.178,17.6,31.5,173,16.1,6.1,1.64,0.007,153,0.208,12021,13,85.9,18.6,0.023,48.7,1.2,11.9,0.871,8.1,5740,6231,91.9,66024 ,0.34,346,5.8,5.3,17050,0.5,light blue
Waltham,33.3,0.385,5.1,,9.9,13.1,44.4,31.2,9.2,437.6,16.1,0.197,0.7,117,55,8.1,29.5,43.3,1036,3.5,2357,50.2,9.16,216,11.9,1.6,23.8,18,4.5,38.8,10.1,2.28,34.9,18.8,7,28382 ,-0.03,0.8,15.7,10,34,46,50.6,-0.122,12,26.6,214,28.5,9.1,0.28,0.009,138,,18899,9,66.8,11.4,0.073,28.2,0.5,6.8,0.868,14.5,,,85.5,67907 ,0.42,256,3.6,23.7,35565,0.3,medium blue
