town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Provincetown,13.6,0.725,10.2,-0.125,13.6,6.1,1373.2,47.6,10.7,623.4,8,0.515,10.2,48.9,144,13.6,27.2,14.4,1058,3.1,5716,45.5,2.4,137,24.3,6.8,58.5,34,0.0,50.9,1.6,1.64,54.3,28.7,3.6,34764 ,0.08,1.4,237.9,122,51.8,41.4,40.9,-0.174,24.1,7.4,598,87.8,10.5,-0.22,-0.001,394,0.159,33811,39,82.2,41.5,-0.378,28.2,0.0,2.3,0.984,7.9,5425,5482,92.1,58968 ,0.16,515,3.4,91,2975,-0.05,wicked blue
Quincy,30.7,0.435,4.7,-0.087,10.1,13.1,212.1,59.3,9.1,392.7,19.4,0.227,1.3,110.2,54,10.9,28.8,35.6,915,4.4,2565,52.1,7.7,198,26.9,3.4,29.4,11.7,1.6,42.4,7.7,2.24,37.7,15.5,6.1,27658 ,0.02,1.3,16.5,20,38.5,37.4,49.3,-0.205,9.6,34.2,238,23.1,9.3,0.1,0.007,167,0.051,14221,11,81.4,20.3,0.033,33,1.0,13.3,0.879,12.8,4477,4597,87.2,72931 ,0.41,237,1.2,42.8,63444,0.3,medium blue
Randolph,12.8,0.229,1.2,-0.191,11.5,12.1,52.6,37.1,9.9,430.8,27.8,0.153,0.9,113,21,4.7,4.7,56.7,1355,3.1,2392,52,5.96,143,17.1,1.6,30.1,0.9,1.9,12.1,19.5,2.75,24.5,11.0,8.5,24049 ,-0.05,1.5,11.8,11,40.4,57.2,82.9,-0.202,12.8,75.7,169,18.3,7.1,2.22,0.007,170,0.13,15612,7,85.2,14.4,-0.003,38.8,0.9,20,0.814,7.6,4020,4087,92.4,69040 ,0.45,261,1.2,38.3,20295,0.16,wicked blue
Raynham,26.2,0.12,0.7,-0.17,8.2,12.0,235.4,58.2,9.3,469.6,,0.077,4.5,196.4,33,6.7,14.9,54.9,1269,5.5,2264,51.3,6.63,150,10.2,0.7,86.9,0,11.3,9.6,5.9,2.71,20.6,12.1,7.4,31544 ,0.01,0.5,18.7,10,39,92.1,,0.22,26.1,53.5,273,25.3,12.1,4.52,0.001,251,0.09,,13,71.7,38.5,,43,4.5,3.2,0.919,5.5,4316,4291,94.5,,,378,3.0,14.1,9797,1.05,red
Reading,64.7,0.161,8.5,-0.025,11.7,9.5,73.2,42.0,8.6,441.1,20.4,0.105,1.2,90.1,78,11.3,16.2,37.1,1471,4.3,3967,51.5,3.87,154,13.0,1.2,34.0,36.4,2.8,29.5,4.2,2.64,23.5,19.5,9.6,42071 ,-0.12,0.3,8.9,9,40.7,60.5,9.6,-0.11,13.1,28.7,171,21.3,4.3,0.77,0.01,75,0.102,11051,12,89.9,15.2,0.012,43.9,1.2,14.4,0.947,7,6290,6458,93.0,64129 ,0.41,299,4.0,4,17583,0.27,medium blue
Rehoboth,13.8,0.049,0.9,-0.139,2.6,6.6,212.8,39.6,10.7,472.5,,0.013,2.6,103,17,6.0,6.0,63.6,1115,4.0,1753,50,1.64,29,6.8,0.0,97.1,30.2,16.9,17,5.6,2.83,15.5,11.4,5.1,34375 ,-0.02,0.3,18.1,11,42.8,86.3,,0.437,39.1,50.5,192,22.3,11,2.14,0.001,155,0.136,,8,91.5,30.2,,39.9,6.0,4.9,0.878,3.9,3867,3974,96.1,,,428,9.5,11.9,8576,1.1,red
Revere,7.7,0.62,0.2,-0.207,15.3,14.6,68.4,49.8,9.4,351.3,20.1,0.185,0.6,74.4,16,7.1,10.0,53.6,1156,2.6,1855,51,6.91,128,9.5,2.7,25.3,1.5,,37.6,16.4,2.52,32,10.7,8.4,19195 ,0.25,1.9,13.7,11,38.2,35.5,59.1,-0.179,9.9,51.6,138,18.4,7.4,0.41,0.014,236,0.099,13277,8,84.6,17.1,0.102,39.2,0.2,34.5,0.946,8.3,3572,3646,91.7,74594 ,0.54,203,0.2,50.8,26298,0.12,medium blue
Richmond,0.0,0.032,0.0,-0.04,0.0,3.4,420.3,,10.2,477.3,16.2,0.01,6.8,92.9,42,,20.3,62.2,1959,2.0,2720,51.5,1.43,39,5.8,0.0,107.8,40.7,6.5,25.2,3.3,2.24,25.7,26.3,13.9,42327 ,-0.15,0,6.8,34,52.2,68.7,7.5,-0.364,14.2,10.7,2,,0.1,1.0,-0.006,,0.091,14140,12,94.5,12.2,-0.165,45,68.2,14.6,0.954,5.2,4048,4176,94.8,,0.18,404,20.3,,1167,0.19,wicked blue
Rochester,9.6,0.078,3.8,-0.115,9.6,7.6,359.3,28.5,10.9,460.4,19.1,0.033,5.7,77.8,38,1.9,1.9,62.1,2067,8.0,3221,49.6,0.88,28,8.4,0.0,154.7,3.8,2.8,10,6.4,2.88,14.9,13.1,5.7,33377 ,0.01,0.2,7.6,19,41.3,111.3,6.1,0.444,44.2,44.7,173,19.0,5.4,2.94,0.006,117,0.248,12270,13,86.9,48.5,-0.121,42.8,13.3,11.7,0.954,9.6,4314,4458,90.4,77806 ,0.31,462,1.9,11.3,4065,1.31,red
Rockland,16.6,0.277,4.6,-0.159,14.3,12.9,138.9,,10,422.4,19.3,0.153,1.7,81.7,32,2.9,2.3,48.2,1192,7.0,2391,52.2,6.01,144,21.0,4.6,56.1,4,5.4,31.9,7.7,2.58,26.6,12.3,7.4,24654 ,0.01,1.3,17.2,10,40.3,60.6,16.8,0.054,22.4,43.8,170,23.3,7.1,0.95,0.005,,0.381,13081,7,79,25.5,-0.074,39,5.7,24.8,0.841,8.6,4093,4382,91.4,73421 ,0.3,361,0.0,,12505,0.57,light blue
